0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
335982.0,26.075,22.595,39.3375,28.4075,25.792499999999997,16.0925,13.82,4.12,6.235,6.2925,9.82,20.66,25.54,24.755000000000003,21.439999999999998,21.22,15.135,21.37,8.125,13.125,5.945,5.74,147.61,0.0,137.875,119.35,126.275,97.45,0.0,0.0,98.36749999999999,130.0,0.0,0.0,136.21,132.78,121.34,116.12,0.0,0.0,136.36,106.69999999999999,0.0,79.9
335983.0,22.925,16.8325,26.6025,23.487499999999997,26.195,17.86,19.825,12.68,5.38,9.2,11.442499999999999,16.275,36.8225,29.99,31.395000000000003,23.445,16.6575,30.71,9.12,0.0,9.58,2.08,110.595,118.22,119.55,136.38,146.8,119.60749999999999,0.0,142.25,68.61749999999999,106.42500000000001,104.725,118.65,143.92,127.365,126.13,138.2425,139.82,114.4225,130.425,75.0,193.14,20.0
335984.0,22.932499999999997,19.4525,25.03,18.295,26.485,20.525,22.92,11.445,10.3325,6.535,3.3375,18.195,17.5775,24.27,18.84,23.43,13.4875,14.19,0.0,5.905,3.64,2.1,119.02,145.38,129.55,88.23,139.6425,0.0,0.0,107.89,99.9375,134.20499999999998,55.269999999999996,114.47999999999999,157.365,137.2725,0.0,0.0,114.565,109.965,0.0,0.0,113.46000000000001,0.0
335985.0,15.9175,19.4425,14.67,21.235,15.285,15.54,12.805,10.56,9.8,5.025,9.075,20.582500000000003,26.075,24.525,28.4075,39.3375,16.0925,13.82,6.235,6.2925,9.82,10.93,150.3725,129.15,114.16499999999999,128.96,146.565,143.445,122.85,124.13,82.11,71.79,110.405,98.84,147.61,122.05,119.35,137.875,97.45,0.0,98.36749999999999,130.0,0.0,92.59
335986.0,21.37,25.54,24.755000000000003,20.66,21.439999999999998,21.22,15.135,8.125,13.125,5.945,5.74,20.067500000000003,19.385,17.27,32.58,27.8375,19.072499999999998,10.88,13.33,20.6475,5.27,4.13,0.0,136.21,132.78,0.0,121.34,116.12,0.0,136.36,106.69999999999999,0.0,79.9,141.66,0.0,0.0,169.34,136.91,119.66,0.0,0.0,80.48,96.9875,166.66
335987.0,18.84,18.595,17.5775,24.27,23.43,13.4875,5.73,0.0,5.905,3.64,2.1,22.925,16.8325,26.6025,24.2975,23.487499999999997,17.86,10.52,12.68,5.38,9.2,11.442499999999999,0.0,119.63,157.365,137.2725,0.0,114.565,132.495,0.0,0.0,113.46000000000001,0.0,110.595,118.22,119.55,133.18,136.38,119.60749999999999,84.88,142.25,68.61749999999999,106.42500000000001,104.725
335988.0,20.067500000000003,19.385,17.27,32.58,27.8375,15.197500000000002,13.33,10.88,20.6475,5.27,4.13,22.932499999999997,19.4525,25.03,24.924999999999997,26.485,18.295,20.525,10.3325,4.38,6.52,3.3375,141.66,0.0,0.0,169.34,136.91,150.0,0.0,0.0,80.48,96.9875,166.66,119.02,145.38,129.55,124.06,139.6425,88.23,0.0,99.9375,300.0,105.375,55.269999999999996
335989.0,16.275,36.8225,29.99,23.445,31.395000000000003,16.6575,30.71,9.12,0.0,9.58,2.08,15.9175,19.4425,21.235,12.805,18.165,15.54,9.8,10.56,5.025,0.0,9.075,118.65,143.92,127.365,138.2425,126.13,139.82,114.4225,130.425,75.0,193.14,20.0,150.3725,129.15,128.96,122.85,116.41,143.445,82.11,124.13,71.79,60.0,110.405
335990.0,20.067500000000003,17.27,15.197500000000002,32.58,27.8375,10.88,13.33,20.6475,5.27,4.13,5.555,18.595,25.635,17.5775,24.27,18.84,13.4875,5.905,0.0,5.73,3.64,2.1,141.66,0.0,150.0,169.34,136.91,0.0,0.0,80.48,96.9875,166.66,120.63,119.63,127.53,157.365,137.2725,0.0,114.565,0.0,0.0,132.495,113.46000000000001,0.0
335991.0,22.925,17.86,26.6025,23.487499999999997,21.6125,24.2975,10.52,12.68,5.38,11.442499999999999,9.0,15.9175,19.4425,21.235,18.165,23.215,12.805,15.54,10.56,9.8,9.075,5.025,110.595,119.60749999999999,119.55,136.38,104.19,133.18,84.88,142.25,68.61749999999999,104.725,165.78,150.3725,129.15,128.96,116.41,123.21000000000001,122.85,143.445,124.13,82.11,110.405,71.79
335992.0,20.582500000000003,26.075,24.525,28.4075,39.3375,16.0925,6.235,9.82,6.2925,10.93,5.6,25.635,14.19,17.5775,24.27,18.84,13.4875,0.0,5.905,10.3275,3.64,2.1,98.84,147.61,122.05,119.35,137.875,97.45,98.36749999999999,0.0,130.0,92.59,0.0,127.53,109.965,157.365,137.2725,0.0,114.565,0.0,0.0,128.32,113.46000000000001,0.0
335993.0,16.275,36.8225,31.395000000000003,29.99,30.71,23.445,16.6575,9.12,0.0,9.58,2.08,20.66,25.54,24.755000000000003,21.37,21.439999999999998,21.22,15.135,8.125,5.945,5.74,13.125,118.65,143.92,126.13,127.365,114.4225,138.2425,139.82,130.425,75.0,193.14,20.0,0.0,136.21,132.78,0.0,121.34,116.12,0.0,136.36,0.0,79.9,106.69999999999999
335994.0,15.9175,19.4425,20.305,21.235,12.805,15.54,18.165,9.8,5.025,9.075,23.355,20.067500000000003,17.27,32.58,27.8375,15.197500000000002,13.33,10.88,5.27,4.13,5.555,8.145,150.3725,129.15,113.29,128.96,122.85,143.445,116.41,82.11,71.79,110.405,186.495,141.66,0.0,169.34,136.91,150.0,0.0,0.0,96.9875,166.66,120.63,0.0
335995.0,22.925,26.195,26.6025,24.2975,23.487499999999997,19.825,17.86,12.68,5.38,11.442499999999999,9.0,22.932499999999997,19.4525,25.03,24.924999999999997,18.295,26.485,20.525,10.3325,6.52,4.38,3.3375,110.595,146.8,119.55,133.18,136.38,114.33,119.60749999999999,142.25,68.61749999999999,104.725,165.78,119.02,145.38,129.55,124.06,88.23,139.6425,0.0,99.9375,105.375,300.0,55.269999999999996
335996.0,15.92,22.595,24.525,28.4075,16.0925,39.3375,26.075,6.235,6.2925,13.82,3.7800000000000002,16.275,36.8225,29.99,23.445,31.395000000000003,16.6575,30.71,18.1525,9.12,0.0,9.58,124.14000000000001,0.0,122.05,119.35,97.45,137.875,147.61,98.36749999999999,130.0,0.0,84.265,118.65,143.92,127.365,138.2425,126.13,139.82,114.4225,142.28,130.425,75.0,193.14
335997.0,25.54,20.66,24.755000000000003,14.98,21.439999999999998,21.22,15.135,8.125,5.945,5.74,13.125,20.305,19.4425,29.637499999999996,21.235,18.165,12.805,15.54,5.025,9.075,4.465,15.285,136.21,0.0,132.78,129.195,121.34,116.12,0.0,136.36,0.0,79.9,106.69999999999999,113.29,129.15,129.89249999999998,128.96,116.41,122.85,143.445,71.79,110.405,92.59,146.565
335998.0,22.932499999999997,19.4525,25.03,24.924999999999997,26.485,18.295,20.525,11.445,4.38,6.52,3.3375,6.235,22.595,24.525,28.4075,26.075,16.0925,39.3375,6.2925,3.7800000000000002,10.93,9.82,119.02,145.38,129.55,124.06,139.6425,88.23,0.0,107.89,300.0,105.375,55.269999999999996,98.36749999999999,0.0,122.05,119.35,147.61,97.45,137.875,130.0,84.265,92.59,0.0
335999.0,20.067500000000003,17.27,17.947499999999998,27.8375,15.197500000000002,19.385,13.33,8.145,5.555,5.27,4.13,19.9925,21.6125,26.6025,23.487499999999997,24.2975,22.925,17.86,5.38,11.442499999999999,9.0,5.1,141.66,0.0,125.78,136.91,150.0,0.0,0.0,0.0,120.63,96.9875,166.66,111.92,104.19,119.55,136.38,133.18,110.595,119.60749999999999,68.61749999999999,104.725,165.78,0.0
